Province,Subregion,Species,ModelName,ParName,ParVal,Reference
NWT,ALL,POPUBAL,Kozak88,b5,0.008214,Huang
NWT,ALL,POPUBAL,Kozak88,p,0.225,Huang
NWT,ALL,PICEMAR,Kozak88,a0,0.940695,Huang
NWT,ALL,PICEMAR,Kozak88,a1,0.957211,Huang
NWT,ALL,PICEMAR,Kozak88,a2,0.99964,Huang
NWT,ALL,PICEMAR,Kozak88,b1,1.395784,Huang
NWT,ALL,PICEMAR,Kozak88,b2,-0.344672,Huang
NWT,ALL,PICEMAR,Kozak88,b3,2.835917,Huang
NWT,ALL,PICEMAR,Kozak88,b4,-1.39646,Huang
NWT,ALL,PICEMAR,Kozak88,b5,0.152487,Huang
NWT,ALL,PICEMAR,Kozak88,p,0.225,Huang
BC,CWH,THUJPLI,Kozak94,A0,1.843373,Kozak94
BC,CWH,ALNURUB,Kozak94,A0,0.990422,Kozak94
BC,CWH,PSEUMEN,Kozak94,A0,1.207477,Kozak94
BC,CWH,TSUGHET,Kozak94,A0,1.072655,Kozak94
BC,CWH,THUJPLI,Kozak94,A1,0.911766,Kozak94
BC,CWH,ALNURUB,Kozak94,A1,1.06881,Kozak94
BC,CWH,PSEUMEN,Kozak94,A1,0.945081,Kozak94
BC,CWH,TSUGHET,Kozak94,A1,1.01551,Kozak94
BC,CWH,THUJPLI,Kozak94,A2,0.999877,Kozak94
BC,CWH,ALNURUB,Kozak94,A2,0.996624,Kozak94
BC,CWH,PSEUMEN,Kozak94,A2,0.999882,Kozak94
BC,CWH,TSUGHET,Kozak94,A2,0.998825,Kozak94
BC,CWH,THUJPLI,Kozak94,A3,72.6509,Kozak94
BC,CWH,ALNURUB,Kozak94,A3,146.127,Kozak94
BC,CWH,PSEUMEN,Kozak94,A3,87.2869,Kozak94
BC,CWH,TSUGHET,Kozak94,A3,81.6472,Kozak94
BC,CWH,THUJPLI,Kozak94,A4,-194.055,Kozak94
BC,CWH,ALNURUB,Kozak94,A4,-354.998,Kozak94
BC,CWH,PSEUMEN,Kozak94,A4,-211.746,Kozak94
BC,CWH,TSUGHET,Kozak94,A4,-238.305,Kozak94
BC,CWH,THUJPLI,Kozak94,A5,180.805,Kozak94
BC,CWH,ALNURUB,Kozak94,A5,332.158,Kozak94
BC,CWH,PSEUMEN,Kozak94,A5,194.852,Kozak94
BC,CWH,TSUGHET,Kozak94,A5,234.102,Kozak94
BC,CWH,THUJPLI,Kozak94,A6,-58.3491,Kozak94
BC,CWH,ALNURUB,Kozak94,A6,-122.086,Kozak94
BC,CWH,PSEUMEN,Kozak94,A6,-69.6317,Kozak94
