Species,sas_label,index_age,b1,b2,b3,page
PICE.GLA,WS/SW,50,9.794,-1.466,1.287,SAS l.680/726
PINU.CON,PL/LP/PJ/JP,50,7.815,-1.285,1.007,SAS l.682/728; PDF eq.7 dry
