nfi_species,source_species,b1,b2,b3,b4,base_age,page,source_short
PICE.MAR,Black spruce,16.95,0.1136,0.6167,0.3116,50,7,"Carmean et al. 2006 eq. 1"
POPU.TRE,Trembling aspen,4.36,0.6654,1.2137,-0.0761,50,7,"Carmean et al. 2006 eq. 2"
