nfi_species,source_species,a_coef,a_exp,c,h0,t0,base_age,page,source_short
PICE.GLA,interior spruce,283.9,0.5137,0.5829,1.3,0.5,50,1179,Hu & Garcia 2009 CJFR 40:1175-1183
PICE.ENG,interior spruce,283.9,0.5137,0.5829,1.3,0.5,50,1179,Hu & Garcia 2009 CJFR 40:1175-1183
