species,alpha,beta,gamma
PINU.BAN,0.00145,0.2047,1.8529
PINU.STR,0.00429,0.3801,2.0166
PINU.RES,0.002002,0.2133,1.8505
PINU.CON,0.001438,0.2651,1.9095
PICE.MAR,0.002755,0.2691,1.9174
PICE.GLA,0.001078,0.1792,1.8261
PICE.RUB,0.000479,0.3119,1.9279
PICE.ENG,0.001463,0.1003,1.7093
ABIE.BAL,0.001619,0.4148,2.0152
BETU.PAP,0.00288,0.3306,1.9756
BETU.ALL,0.00846,0.2568,1.9386
ACER.SAC,0.00285,0.3176,1.9853
POPU.SPP,0.00104,0.3117,1.9477
POPU.BAL,0.001095,0.1740,1.8287
POPU.TRE,0.00039,0.1731,1.8408
POPU.GRA,0.000952,0.2466,1.9154
FRAX.AME,0.00142,0.2157,1.9032
THUJ.OCC,0.02196,0.6797,2.1667
CEDA.SPP,0.002455,0.2188,1.8734
LARI.OCC,0.01454,0.1481,1.8363
LARI.DEC,0.04685,1.0823,2.2723
PRUN.SER,0.00221,0.1396,1.8018
FAGU.GRA,0.00020,0.1519,1.8200
TILI.AME,0.00075,0.3202,1.9868
QUER.RUB,0.004630,0.1049,1.7239
