juris_id,ecozone,canfi_genus,genus,prop1,prop2,prop3,prop4,prop5,v1,v2,v3,v4
NU,5,136,ROBI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,137,TILI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,138,NYSS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,139,CORN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,140,ARBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,141,FRAX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,142,SALI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,143,GYMN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,144,CELT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,145,AMEL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,146,CORY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,147,CRAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,148,ILEX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,149,MALU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,150,NEMO,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,151,RHUS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,152,SORB,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,153,VIBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,154,CAST,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,5,155,ASIM,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,1,PICE,0.0774,0.0746,0.1914,0.0584,0.0536,14.4,29.4,49.1,85.8
NU,6,2,PINU,0.0285,0.0430,0.1390,0.0215,0.0170,28.0,65.8,109.5,167.3
NU,6,3,ABIE,0.0810,0.0460,0.0290,0.0350,0.0330,48.0,84.5,117.0,163.5
NU,6,6,LARI,0.0000,0.0980,0.0200,0.0180,0.0350,10.5,25.0,49.5,101.5
NU,6,8,GENC,0.0990,0.0665,0.2400,0.0695,0.0485,12.0,26.3,48.5,95.3
NU,6,9,POPU,0.0380,0.0270,0.0290,0.0220,0.0090,68.5,120.5,169.5,244.5
NU,6,10,BETU,0.0840,0.0430,0.0290,0.0200,0.0130,48.0,86.0,121.5,172.5
NU,6,12,GENH,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,121,CARY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,122,JUGL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,123,ALNU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,124,OSTR,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,125,CARP,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,126,FAGU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,127,QUER,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,128,ULMU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,129,MORU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,130,LIRI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,131,MAGN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,132,SASS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,133,PLAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,134,PRUN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,135,GLED,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,136,ROBI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,137,TILI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,138,NYSS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,139,CORN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,140,ARBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,141,FRAX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,142,SALI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,143,GYMN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,144,CELT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,145,AMEL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,146,CORY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,147,CRAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,148,ILEX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,149,MALU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,150,NEMO,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,151,RHUS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,152,SORB,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,153,VIBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,154,CAST,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,6,155,ASIM,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,1,PICE,0.0774,0.0746,0.1914,0.0584,0.0536,14.4,29.4,49.1,85.8
NU,7,2,PINU,0.0285,0.0430,0.1390,0.0215,0.0170,28.0,65.8,109.5,167.3
NU,7,3,ABIE,0.0810,0.0460,0.0290,0.0350,0.0330,48.0,84.5,117.0,163.5
NU,7,6,LARI,0.0000,0.0980,0.0200,0.0180,0.0350,10.5,25.0,49.5,101.5
NU,7,8,GENC,0.0990,0.0665,0.2400,0.0695,0.0485,12.0,26.3,48.5,95.3
NU,7,9,POPU,0.0380,0.0270,0.0290,0.0220,0.0090,68.5,120.5,169.5,244.5
NU,7,10,BETU,0.0840,0.0430,0.0290,0.0200,0.0130,48.0,86.0,121.5,172.5
NU,7,12,GENH,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,121,CARY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,122,JUGL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,123,ALNU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,124,OSTR,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,125,CARP,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,126,FAGU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,127,QUER,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,128,ULMU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,129,MORU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,130,LIRI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,131,MAGN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,132,SASS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,133,PLAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,134,PRUN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,135,GLED,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,136,ROBI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,137,TILI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,138,NYSS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,139,CORN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,140,ARBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,141,FRAX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,142,SALI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,143,GYMN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,144,CELT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,145,AMEL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,146,CORY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,147,CRAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,148,ILEX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,149,MALU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,150,NEMO,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,151,RHUS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,152,SORB,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,153,VIBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,154,CAST,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,7,155,ASIM,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,1,PICE,0.0774,0.0746,0.1914,0.0584,0.0536,14.4,29.4,49.1,85.8
NU,8,2,PINU,0.0285,0.0430,0.1390,0.0215,0.0170,28.0,65.8,109.5,167.3
NU,8,3,ABIE,0.0810,0.0460,0.0290,0.0350,0.0330,48.0,84.5,117.0,163.5
NU,8,6,LARI,0.0000,0.0980,0.0200,0.0180,0.0350,10.5,25.0,49.5,101.5
NU,8,8,GENC,0.0990,0.0665,0.2400,0.0695,0.0485,12.0,26.3,48.5,95.3
NU,8,9,POPU,0.0380,0.0270,0.0290,0.0220,0.0090,68.5,120.5,169.5,244.5
NU,8,10,BETU,0.0840,0.0430,0.0290,0.0200,0.0130,48.0,86.0,121.5,172.5
NU,8,12,GENH,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,121,CARY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
