juris_id, ecozone,canfi_spec,genus,species,variety,biom_min,biom_max,p_sw_low,p_sb_low,p_br_low,p_fl_low,p_sw_high,p_sb_high,p_br_high,p_fl_high
AB,6,1203,POPU,BAL,GLA,1.3752924073,259.5468669,0.6760407643,0.0840936655,0.0881450219,0.1517205483,0.7327459356,0.107711592,0.1235998909,0.0359425815
AB,6,1204,POPU,TRI,,1.3752924073,259.5468669,0.6760407643,0.0840936655,0.0881450219,0.1517205483,0.7327459356,0.107711592,0.1235998909,0.0359425815
AB,6,1205,POPU,DEL,,1.3752924073,259.5468669,0.6760407643,0.0840936655,0.0881450219,0.1517205483,0.7327459356,0.107711592,0.1235998909,0.0359425815
AB,6,1205,POPU,DEL,DEL,1.3752924073,259.5468669,0.6760407643,0.0840936655,0.0881450219,0.1517205483,0.7327459356,0.107711592,0.1235998909,0.0359425815
AB,6,1214,POPU,AGU,,1.3752924073,259.5468669,0.6760407643,0.0840936655,0.0881450219,0.1517205483,0.7327459356,0.107711592,0.1235998909,0.0359425815
AB,6,1303,BETU,PAP,,67.805534828,115.33044625,0.6819708339,0.1280459497,0.1523501536,0.0376330629,0.7056786947,0.1130238471,0.1303105381,0.0509869202
AB,6,1303,BETU,PAP,PAP,67.805534828,115.33044625,0.6819708339,0.1280459497,0.1523501536,0.0376330629,0.7056786947,0.1130238471,0.1303105381,0.0509869202
AB,9,100,PICE,SPP,,3.7115324025,381.67930927,0.5827302315,0.0935011625,0.2030564251,0.1207121809,0.7582053,0.1208149296,0.0841373132,0.0368424572
AB,9,101,PICE,MAR,,0.7115,263.50511875,0.6134983398,0.1017742562,0.1784404225,0.1062869815,0.747402019,0.0912317952,0.0944609434,0.0669052424
AB,9,104,PICE,ENG,,79.272422049,218.85073119,0.6348778154,0.0818511205,0.1685824559,0.1146886082,0.6525441346,0.0842612116,0.1576487135,0.1055459402
AB,9,104,PICE,ENG,GLA,79.272422049,218.85073119,0.6348778154,0.0818511205,0.1685824559,0.1146886082,0.6525441346,0.0842612116,0.1576487135,0.1055459402
AB,9,105,PICE,GLA,,3.7115324025,381.67930927,0.5827302315,0.0935011625,0.2030564251,0.1207121809,0.7582053,0.1208149296,0.0841373132,0.0368424572
AB,9,109,PICE,SPP,,3.7115324025,381.67930927,0.5827302315,0.0935011625,0.2030564251,0.1207121809,0.7582053,0.1208149296,0.0841373132,0.0368424572
AB,9,200,PINU,SPP,,0.0434178924,490.78992823,0.5682851074,0.0933184285,0.2465007199,0.0918957441,0.8272969961,0.0738312144,0.076534511,0.0223372786
AB,9,203,PINU,BAN,,0.5541377104,152.54970356,0.6270278023,0.1267726693,0.1097251861,0.1364743422,0.8283326349,0.0717768233,0.0669044225,0.0329861194
AB,9,204,PINU,CON,,0.0434178924,490.78992823,0.5682851074,0.0933184285,0.2465007199,0.0918957441,0.8272969961,0.0738312144,0.076534511,0.0223372786
AB,9,204,PINU,CON,LAT,0.0434178924,490.78992823,0.5682851074,0.0933184285,0.2465007199,0.0918957441,0.8272969961,0.0738312144,0.076534511,0.0223372786
AB,9,206,PINU,ALB,,6.4805878967,237.94618112,0.6413849143,0.1302929662,0.0892126593,0.1391094602,0.7579460328,0.0808881048,0.0938522707,0.0673135917
AB,9,208,PINU,PON,,7.6525904262,522.01716232,0.5486643615,0.0658580652,0.2579808035,0.1274967697,0.7911021979,0.0546592566,0.1079012353,0.0463373101
AB,9,216,PINU,MUR,,0.0434178924,490.78992823,0.6298366709,0.1031439971,0.1829560516,0.0840632804,0.8296170771,0.0751599937,0.0725501442,0.0226727851
AB,9,300,ABIE,SPP,,5.5425351666,243.69303566,0.4395416363,0.092338489,0.3004102482,0.1677096265,0.671174762,0.1036722434,0.1426014744,0.0825515203
AB,9,302,ABIE,BAL,,5.5425351666,243.69303566,0.4395416363,0.092338489,0.3004102482,0.1677096265,0.671174762,0.1036722434,0.1426014744,0.0825515203
