juris_id, ecozone,canfi_spec,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,9,1204,POPU,TRI,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1205,POPU,DEL,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1205,POPU,DEL,DEL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1214,POPU,AGU,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1303,BETU,PAP,,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1404,ACER,NEG,,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1500,GENH,SPP,,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1550,GENH,SPP,,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,3500,SALI,SPP,,-1.749271,-0.0011443,-0.0385082,-2.368783,0.0003223,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,9,3508,SALI,DIS,,-1.749271,-0.0011443,-0.0385082,-2.368783,0.0003223,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,10,100,PICE,SPP,,-1.619452,0.0009733,-0.0988202,-0.6090675,-0.0009805,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,101,PICE,MAR,,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,10,104,PICE,ENG,,-1.619452,0.0009733,-0.0988202,-0.6090675,-0.0009805,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,104,PICE,ENG,GLA,-1.619452,0.0009733,-0.0988202,-0.6090675,-0.0009805,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,105,PICE,GLA,,-1.619452,0.0009733,-0.0988202,-0.6090675,-0.0009805,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,200,PINU,SPP,,-1.596728,-0.0000299,-0.1297067,-0.123297,0.0009653,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,10,203,PINU,BAN,,-1.210482,-0.0005965,-0.2261727,-1.392068,-0.0005859,-0.2044972,-0.8886665,-0.0030297,-0.3700746,30
AB,10,204,PINU,CON,,-1.596728,-0.0000299,-0.1297067,-0.123297,0.0009653,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,10,204,PINU,CON,LAT,-1.596728,-0.0000299,-0.1297067,-0.123297,0.0009653,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,10,213,PINU,FLE,,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,10,216,PINU,MUR,,-1.593991,0.0000379,-0.1330865,-0.7553959,0.000332,-0.297162,-1.910119,-0.0026327,-0.0640618,759
AB,10,300,ABIE,SPP,,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,10,302,ABIE,BAL,,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,10,304,ABIE,LAS,,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,10,500,PSEU,MEN,,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,500,PSEU,MEN,MEN,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,500,PSEU,MEN,GLA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,500,PSEU,SPP,,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,600,LARI,SPP,,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,10,602,LARI,LAR,,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,10,604,LARI,LYA,,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,10,1150,UNKN,SPP,,-1.59885,-0.0001745,-0.1087694,-0.5711935,-0.0002642,-0.2818973,-1.946162,-0.0033301,0.0057605,1113
AB,10,1200,POPU,SPP,,-1.062501,-0.0008673,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,10,1201,POPU,TRE,,-1.062501,-0.0008673,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,10,1203,POPU,BAL,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1203,POPU,BAL,BAL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1203,POPU,BAL,GLA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1204,POPU,TRI,,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
