"species","model","parameter","estimate","stderr"
"BETU.POP","DBH","bfoliage1",0.0099,NA
"BETU.POP","DBH","bfoliage2",1.8985,NA
"CARY.SPP","DBH","bwood1",0.2116,NA
"CARY.SPP","DBH","bwood2",2.2013,NA
"CARY.SPP","DBH","bbark1",0.0365,NA
"CARY.SPP","DBH","bbark2",2.1133,NA
"CARY.SPP","DBH","bbranches1",0.0087,NA
"CARY.SPP","DBH","bbranches2",2.8927,NA
"CARY.SPP","DBH","bfoliage1",0.0173,NA
"CARY.SPP","DBH","bfoliage2",1.983,NA
"OSTR.VIR","DBH","bwood1",0.1929,NA
"OSTR.VIR","DBH","bwood2",1.9672,NA
"OSTR.VIR","DBH","bbark1",0.0671,NA
"OSTR.VIR","DBH","bbark2",1.5911,NA
"OSTR.VIR","DBH","bbranches1",0.0278,NA
"OSTR.VIR","DBH","bbranches2",2.1336,NA
"OSTR.VIR","DBH","bfoliage1",0.0293,NA
"OSTR.VIR","DBH","bfoliage2",1.9502,NA
"PINU.BAN","DBH","bwood1",0.0804,NA
"PINU.BAN","DBH","bwood2",2.4041,NA
"PINU.BAN","DBH","bbark1",0.0184,NA
"PINU.BAN","DBH","bbark2",2.0703,NA
"PINU.BAN","DBH","bbranches1",0.0079,NA
"PINU.BAN","DBH","bbranches2",2.4155,NA
"PINU.BAN","DBH","bfoliage1",0.0389,NA
"PINU.BAN","DBH","bfoliage2",1.729,NA
"POPU.GRA","DBH","bwood1",0.0959,NA
"POPU.GRA","DBH","bwood2",2.343,NA
"POPU.GRA","DBH","bbark1",0.0308,NA
"POPU.GRA","DBH","bbark2",2.224,NA
"POPU.GRA","DBH","bbranches1",0.0047,NA
"POPU.GRA","DBH","bbranches2",2.653,NA
"POPU.GRA","DBH","bfoliage1",0.008,NA
"POPU.GRA","DBH","bfoliage2",2.0149,NA
"PINU.CON","DBH","bwood1",0.0323,0.0021
"PINU.CON","DBH","bwood2",2.6825,0.0209
"PINU.CON","DBH","bbark1",0.0144,0.001
"PINU.CON","DBH","bbark2",2.1768,0.0225
"PINU.CON","DBH","bbranches1",0.0209,0.0029
"PINU.CON","DBH","bbranches2",2.1772,0.0485
"PINU.CON","DBH","bfoliage1",0.0584,0.0059
"PINU.CON","DBH","bfoliage2",1.6432,0.0357
"FRAX.PEN","DBH","bwood1",0.1571,NA
"FRAX.PEN","DBH","bwood2",2.1817,NA
"FRAX.PEN","DBH","bbark1",0.0416,NA
"FRAX.PEN","DBH","bbark2",2.0509,NA
"FRAX.PEN","DBH","bbranches1",0.0177,NA
"FRAX.PEN","DBH","bbranches2",2.337,NA
"FRAX.PEN","DBH","bfoliage1",0.1041,NA
"FRAX.PEN","DBH","bfoliage2",1.2185,NA
"ACER.RUB","DBH","bwood1",0.1014,NA
"ACER.RUB","DBH","bwood2",2.3448,NA
"ACER.RUB","DBH","bbark1",0.0291,NA
"ACER.RUB","DBH","bbark2",2.0893,NA
"ACER.RUB","DBH","bbranches1",0.0175,NA
"ACER.RUB","DBH","bbranches2",2.4846,NA
"ACER.RUB","DBH","bfoliage1",0.0515,NA
"ACER.RUB","DBH","bfoliage2",1.1598,NA
"QUER.RUB","DBH","bwood1",0.1754,NA
"QUER.RUB","DBH","bwood2",2.1616,NA
"QUER.RUB","DBH","bbark1",0.0381,NA
"QUER.RUB","DBH","bbark2",2.0991,NA
"QUER.RUB","DBH","bbranches1",0.0085,NA
"QUER.RUB","DBH","bbranches2",2.779,NA
