"species","model","parameter","estimate","stderr"
"PINU.STR","DBHHT","bbark1",0.0069,5e-04
"PINU.STR","DBHHT","bbark2",1.6589,0.0369
"PINU.STR","DBHHT","bbark3",0.9582,0.0534
"PINU.STR","DBHHT","bbranches1",0.0184,0.002
"PINU.STR","DBHHT","bbranches2",3.1968,0.0665
"PINU.STR","DBHHT","bbranches3",-1.0876,0.0874
"PINU.STR","DBHHT","bfoliage1",0.0584,0.0113
"PINU.STR","DBHHT","bfoliage2",2.2389,0.0772
"PINU.STR","DBHHT","bfoliage3",-0.5968,0.1038
"BETU.POP","DBHHT","bwood1",0.0295,0.0022
"BETU.POP","DBHHT","bwood2",1.9064,0.0375
"BETU.POP","DBHHT","bwood3",0.9139,0.0604
"BETU.POP","DBHHT","bbark1",0.0148,0.0036
"BETU.POP","DBHHT","bbark2",1.8433,0.1463
"BETU.POP","DBHHT","bbark3",0.5021,0.22
"BETU.POP","DBHHT","bbranches1",0.015,0.0058
"BETU.POP","DBHHT","bbranches2",3.0347,0.2225
"BETU.POP","DBHHT","bbranches3",-0.7629,0.3448
"BETU.POP","DBHHT","bfoliage1",0.0455,0.0056
"BETU.POP","DBHHT","bfoliage2",2.6447,0.1905
"BETU.POP","DBHHT","bfoliage3",-1.4955,0.2381
"CARY.SPP","DBHHT","bwood1",0.0139,0.002
"CARY.SPP","DBHHT","bwood2",1.5913,0.0472
"CARY.SPP","DBHHT","bwood3",1.508,0.0797
"CARY.SPP","DBHHT","bbark1",0.0081,0.0021
"CARY.SPP","DBHHT","bbark2",1.4943,0.0886
"CARY.SPP","DBHHT","bbark3",1.1324,0.1413
"CARY.SPP","DBHHT","bbranches1",0.005,0.0014
"CARY.SPP","DBHHT","bbranches2",3.0463,0.09
"CARY.SPP","DBHHT","bbranches3",0,0
"CARY.SPP","DBHHT","bfoliage1",0.0121,0.0025
"CARY.SPP","DBHHT","bfoliage2",2.0865,0.0623
"CARY.SPP","DBHHT","bfoliage3",0,0
"OSTR.VIR","DBHHT","bwood1",0.0083,0.0033
"OSTR.VIR","DBHHT","bwood2",1.6534,0.0532
"OSTR.VIR","DBHHT","bwood3",1.7479,0.163
"OSTR.VIR","DBHHT","bbark1",0.0012,9e-04
"OSTR.VIR","DBHHT","bbark2",1.1486,0.1174
"OSTR.VIR","DBHHT","bbark3",2.2903,0.3428
"OSTR.VIR","DBHHT","bbranches1",9e-04,9e-04
"OSTR.VIR","DBHHT","bbranches2",1.9152,0.138
"OSTR.VIR","DBHHT","bbranches3",1.7769,0.4215
"OSTR.VIR","DBHHT","bfoliage1",0.0247,0.0085
"OSTR.VIR","DBHHT","bfoliage2",2.0056,0.1271
"OSTR.VIR","DBHHT","bfoliage3",0,0
"PINU.BAN","DBHHT","bwood1",0.0199,0.001
"PINU.BAN","DBHHT","bwood2",1.6883,0.0185
"PINU.BAN","DBHHT","bwood3",1.2456,0.028
"PINU.BAN","DBHHT","bbark1",0.0141,0.001
"PINU.BAN","DBHHT","bbark2",1.5994,0.0388
"PINU.BAN","DBHHT","bbark3",0.5957,0.0553
"PINU.BAN","DBHHT","bbranches1",0.0185,0.0021
"PINU.BAN","DBHHT","bbranches2",3.0584,0.0551
"PINU.BAN","DBHHT","bbranches3",-0.9816,0.0654
"PINU.BAN","DBHHT","bfoliage1",0.0325,0.0035
"PINU.BAN","DBHHT","bfoliage2",1.7879,0.0359
"PINU.BAN","DBHHT","bfoliage3",0,0
"POPU.GRA","DBHHT","bwood1",0.0128,0.0011
"POPU.GRA","DBHHT","bwood2",2.0633,0.0314
"POPU.GRA","DBHHT","bwood3",0.9516,0.048
"POPU.GRA","DBHHT","bbark1",0.024,0.0022
"POPU.GRA","DBHHT","bbark2",2.3055,0.0325
"POPU.GRA","DBHHT","bbark3",0,0
"POPU.GRA","DBHHT","bbranches1",0.0131,0.0017
"POPU.GRA","DBHHT","bbranches2",3.1274,0.0766
"POPU.GRA","DBHHT","bbranches3",-0.8379,0.0902
"POPU.GRA","DBHHT","bfoliage1",0.0382,0.0028
"POPU.GRA","DBHHT","bfoliage2",2.1673,0.0547
"POPU.GRA","DBHHT","bfoliage3",-0.6842,0.0647
"PINU.CON","DBHHT","bwood1",0.0239,NA
"PINU.CON","DBHHT","bwood2",1.6827,NA
"PINU.CON","DBHHT","bwood3",1.1878,NA
"PINU.CON","DBHHT","bbark1",0.0117,NA
"PINU.CON","DBHHT","bbark2",1.6398,NA
"PINU.CON","DBHHT","bbark3",0.6524,NA
"PINU.CON","DBHHT","bbranches1",0.0285,NA
"PINU.CON","DBHHT","bbranches2",3.3764,NA
"PINU.CON","DBHHT","bbranches3",-1.4395,NA
"PINU.CON","DBHHT","bfoliage1",0.0769,NA
"PINU.CON","DBHHT","bfoliage2",2.6834,NA
"PINU.CON","DBHHT","bfoliage3",-1.2484,NA
"FRAX.PEN","DBHHT","bwood1",0.0224,0.0048
"FRAX.PEN","DBHHT","bwood2",1.7845,0.0816
"FRAX.PEN","DBHHT","bwood3",1.066,0.1202
"FRAX.PEN","DBHHT","bbark1",0.0219,0.0051
"FRAX.PEN","DBHHT","bbark2",1.419,0.0882
"FRAX.PEN","DBHHT","bbark3",0.8963,0.1307
"FRAX.PEN","DBHHT","bbranches1",0.0176,0.0077
"FRAX.PEN","DBHHT","bbranches2",2.3313,0.1358
"FRAX.PEN","DBHHT","bbranches3",0,0
"FRAX.PEN","DBHHT","bfoliage1",0.0761,0.0263
"FRAX.PEN","DBHHT","bfoliage2",1.3077,0.1043
"FRAX.PEN","DBHHT","bfoliage3",0,0
"ACER.RUB","DBHHT","bwood1",0.0315,0.0042
"ACER.RUB","DBHHT","bwood2",2.0342,0.0423
"ACER.RUB","DBHHT","bwood3",0.7485,0.077
"ACER.RUB","DBHHT","bbark1",0.0283,0.0029
"ACER.RUB","DBHHT","bbark2",2.0907,0.0332
"ACER.RUB","DBHHT","bbark3",0,0
"ACER.RUB","DBHHT","bbranches1",0.0225,0.0034
"ACER.RUB","DBHHT","bbranches2",2.4106,0.0475
"ACER.RUB","DBHHT","bbranches3",0,0
"ACER.RUB","DBHHT","bfoliage1",0.0571,0.0064
"ACER.RUB","DBHHT","bfoliage2",1.4898,0.0358
"ACER.RUB","DBHHT","bfoliage3",0,0
"QUER.RUB","DBHHT","bwood1",0.0285,0.0049
"QUER.RUB","DBHHT","bwood2",1.8501,0.0368
"QUER.RUB","DBHHT","bwood3",1.0204,0.0732
"QUER.RUB","DBHHT","bbark1",0.0326,0.0066
"QUER.RUB","DBHHT","bbark2",1.81,0.061
"QUER.RUB","DBHHT","bbark3",0.4153,0.109
"QUER.RUB","DBHHT","bbranches1",0.0013,5e-04
"QUER.RUB","DBHHT","bbranches2",3.0637,0.0863
"QUER.RUB","DBHHT","bbranches3",0.3153,0.1273
"QUER.RUB","DBHHT","bfoliage1",0.0582,0.0048
"QUER.RUB","DBHHT","bfoliage2",1.5438,0.0295
"QUER.RUB","DBHHT","bfoliage3",0,0
"PINU.RES","DBHHT","bwood1",0.0106,5e-04
"PINU.RES","DBHHT","bwood2",1.7725,0.0143
"PINU.RES","DBHHT","bwood3",1.3285,0.0229
"PINU.RES","DBHHT","bbark1",0.0277,0.0018
"PINU.RES","DBHHT","bbark2",1.5192,0.0425
"PINU.RES","DBHHT","bbark3",0.4645,0.0519
"PINU.RES","DBHHT","bbranches1",0.0125,0.001
"PINU.RES","DBHHT","bbranches2",3.3865,0.0403
"PINU.RES","DBHHT","bbranches3",-1.1939,0.0551
"PINU.RES","DBHHT","bfoliage1",0.0731,0.0068
"PINU.RES","DBHHT","bfoliage2",2.3439,0.0494
"PINU.RES","DBHHT","bfoliage3",-0.7378,0.0639
"PICE.RUB","DBHHT","bwood1",0.0143,0.0016
"PICE.RUB","DBHHT","bwood2",1.6441,0.034
"PICE.RUB","DBHHT","bwood3",1.4065,0.069
"PICE.RUB","DBHHT","bbark1",0.0274,0.0041
"PICE.RUB","DBHHT","bbark2",2.0188,0.0481
"PICE.RUB","DBHHT","bbark3",0,0
"PICE.RUB","DBHHT","bbranches1",5e-04,1e-04
"PICE.RUB","DBHHT","bbranches2",3.3136,0.0779
"PICE.RUB","DBHHT","bbranches3",0,0
"PICE.RUB","DBHHT","bfoliage1",0.0106,0.0022
"PICE.RUB","DBHHT","bfoliage2",2.2709,0.0649
"PICE.RUB","DBHHT","bfoliage3",0,0
"ACER.SAC","DBHHT","bwood1",0.0274,0.0055
"ACER.SAC","DBHHT","bwood2",1.7126,0.0581
"ACER.SAC","DBHHT","bwood3",1.1086,0.1198
"ACER.SAC","DBHHT","bbark1",0.0123,0.0044
"ACER.SAC","DBHHT","bbark2",1.825,0.0955
"ACER.SAC","DBHHT","bbark3",0.501,0.199
"ACER.SAC","DBHHT","bbranches1",0.0543,0.0391
"ACER.SAC","DBHHT","bbranches2",3.7343,0.2311
"ACER.SAC","DBHHT","bbranches3",-1.6497,0.4651
"ACER.SAC","DBHHT","bfoliage1",6.6808,3.3429
"ACER.SAC","DBHHT","bfoliage2",2.1092,0.2006
"ACER.SAC","DBHHT","bfoliage3",-2.1697,0.3733
"ACER.SAH","DBHHT","bwood1",0.0301,0.004
"ACER.SAH","DBHHT","bwood2",2.0313,0.0307
"ACER.SAH","DBHHT","bwood3",0.8171,0.0717
"ACER.SAH","DBHHT","bbark1",0.0103,0.0037
"ACER.SAH","DBHHT","bbark2",1.7111,0.0749
"ACER.SAH","DBHHT","bbark3",0.8509,0.1772
"ACER.SAH","DBHHT","bbranches1",0.0661,0.0161
"ACER.SAH","DBHHT","bbranches2",2.594,0.0706
"ACER.SAH","DBHHT","bbranches3",-0.4933,0.149
"ACER.SAH","DBHHT","bfoliage1",2.5019,0.2763
"ACER.SAH","DBHHT","bfoliage2",2.4527,0.0698
"ACER.SAH","DBHHT","bfoliage3",-2.3008,0.1089
"LARI.LAR","DBHHT","bwood1",0.0276,0.001
"LARI.LAR","DBHHT","bwood2",1.6724,0.0208
"LARI.LAR","DBHHT","bwood3",1.1443,0.0271
"LARI.LAR","DBHHT","bbark1",0.012,4e-04
"LARI.LAR","DBHHT","bbark2",1.7059,0.0243
"LARI.LAR","DBHHT","bbark3",0.5811,0.0318
"LARI.LAR","DBHHT","bbranches1",0.0336,0.0028
"LARI.LAR","DBHHT","bbranches2",3.1335,0.0694
"LARI.LAR","DBHHT","bbranches3",-1.1559,0.0864
"LARI.LAR","DBHHT","bfoliage1",0.1324,0.0107
"LARI.LAR","DBHHT","bfoliage2",2.114,0.077
"LARI.LAR","DBHHT","bfoliage3",-0.8781,0.0983
"POPU.TRE","DBHHT","bwood1",0.0143,NA
"POPU.TRE","DBHHT","bwood2",1.9369,NA
"POPU.TRE","DBHHT","bwood3",1.0579,NA
"POPU.TRE","DBHHT","bbark1",0.0063,NA
"POPU.TRE","DBHHT","bbark2",2.0744,NA
"POPU.TRE","DBHHT","bbark3",0.6691,NA
"POPU.TRE","DBHHT","bbranches1",0.015,NA
"POPU.TRE","DBHHT","bbranches2",2.9068,NA
"POPU.TRE","DBHHT","bbranches3",-0.6306,NA
"POPU.TRE","DBHHT","bfoliage1",0.0284,NA
"POPU.TRE","DBHHT","bfoliage2",1.602,NA
"POPU.TRE","DBHHT","bfoliage3",0,NA
"FRAX.AME","DBHHT","bwood1",0.0224,0.0046
"FRAX.AME","DBHHT","bwood2",1.7438,0.0364
"FRAX.AME","DBHHT","bwood3",1.1899,0.0917
"FRAX.AME","DBHHT","bbark1",0.0126,0.0034
"FRAX.AME","DBHHT","bbark2",1.6456,0.0607
"FRAX.AME","DBHHT","bbark3",0.7893,0.1361
"FRAX.AME","DBHHT","bbranches1",0.0354,0.0084
"FRAX.AME","DBHHT","bbranches2",2.3046,0.0739
"FRAX.AME","DBHHT","bbranches3",0,0
"FRAX.AME","DBHHT","bfoliage1",0.0195,0.0093
"FRAX.AME","DBHHT","bfoliage2",1.0509,0.1073
"FRAX.AME","DBHHT","bfoliage3",0.7836,0.198
"BETU.PAP","DBHHT","bwood1",0.0333,NA
"BETU.PAP","DBHHT","bwood2",2.0794,NA
"BETU.PAP","DBHHT","bwood3",0.6811,NA
"BETU.PAP","DBHHT","bbark1",0.0079,NA
"BETU.PAP","DBHHT","bbark2",1.9905,NA
"BETU.PAP","DBHHT","bbark3",0.6553,NA
"BETU.PAP","DBHHT","bbranches1",0.0253,NA
"BETU.PAP","DBHHT","bbranches2",3.1518,NA
"BETU.PAP","DBHHT","bbranches3",-0.9083,NA
"BETU.PAP","DBHHT","bfoliage1",0.1361,NA
"BETU.PAP","DBHHT","bfoliage2",2.2978,NA
"BETU.PAP","DBHHT","bfoliage3",-1.0934,NA
"ULMU.AME","DBHHT","bwood1",0.0207,0.0039
"ULMU.AME","DBHHT","bwood2",2.2276,0.0632
"ULMU.AME","DBHHT","bwood3",0.6488,0.1171
"ULMU.AME","DBHHT","bbark1",0.0078,0.0024
"ULMU.AME","DBHHT","bbark2",2.454,0.0954
"ULMU.AME","DBHHT","bbark3",0,0
"ULMU.AME","DBHHT","bbranches1",0.0393,0.0059
"ULMU.AME","DBHHT","bbranches2",2.188,0.0456
"ULMU.AME","DBHHT","bbranches3",0,0
"ULMU.AME","DBHHT","bfoliage1",0.0516,0.0028
"ULMU.AME","DBHHT","bfoliage2",1.4511,0.0187
"ULMU.AME","DBHHT","bfoliage3",0,0
"QUER.ALB","DBHHT","bwood1",0.0442,0.0049
"QUER.ALB","DBHHT","bwood2",1.6818,0.0457
"QUER.ALB","DBHHT","bwood3",1.031,0.0844
"QUER.ALB","DBHHT","bbark1",0.0308,0.005
"QUER.ALB","DBHHT","bbark2",1.7479,0.0672
"QUER.ALB","DBHHT","bbark3",0.3504,0.1137
"QUER.ALB","DBHHT","bbranches1",0.0022,6e-04
"QUER.ALB","DBHHT","bbranches2",2.0165,0.0598
"QUER.ALB","DBHHT","bbranches3",1.3953,0.1278
"QUER.ALB","DBHHT","bfoliage1",0.0053,0.0017
"QUER.ALB","DBHHT","bfoliage2",1.2822,0.1077
"QUER.ALB","DBHHT","bfoliage3",1.1323,0.1905
"PICE.GLA","DBHHT","bwood1",0.0252,NA
"PICE.GLA","DBHHT","bwood2",1.7819,NA
"PICE.GLA","DBHHT","bwood3",1.0022,NA
"PICE.GLA","DBHHT","bbark1",0.0096,NA
"PICE.GLA","DBHHT","bbark2",1.6901,NA
"PICE.GLA","DBHHT","bbark3",0.7393,NA
"PICE.GLA","DBHHT","bbranches1",0.0322,NA
"PICE.GLA","DBHHT","bbranches2",2.8961,NA
"PICE.GLA","DBHHT","bbranches3",-0.9203,NA
"PICE.GLA","DBHHT","bfoliage1",0.1832,NA
"PICE.GLA","DBHHT","bfoliage2",2.4144,NA
"PICE.GLA","DBHHT","bfoliage3",-1.0948,NA
"BETU.ALL","DBHHT","bwood1",0.0259,0.0038
"BETU.ALL","DBHHT","bwood2",1.9044,0.0305
"BETU.ALL","DBHHT","bwood3",0.9715,0.0709
"BETU.ALL","DBHHT","bbark1",0.0069,0.0015
"BETU.ALL","DBHHT","bbark2",2.0834,0.0534
"BETU.ALL","DBHHT","bbark3",0.5371,0.1178
"BETU.ALL","DBHHT","bbranches1",0.0325,0.0025
"BETU.ALL","DBHHT","bbranches2",2.3851,0.0231
"BETU.ALL","DBHHT","bbranches3",0,0
"BETU.ALL","DBHHT","bfoliage1",0.1683,0.0222
"BETU.ALL","DBHHT","bfoliage2",1.2764,0.038
"BETU.ALL","DBHHT","bfoliage3",0,0
"UNKN.HWD","DBHHT","bwood1",0.0353,NA
"UNKN.HWD","DBHHT","bwood2",2.0249,NA
"UNKN.HWD","DBHHT","bwood3",0.7048,NA
"UNKN.HWD","DBHHT","bbark1",0.009,NA
"UNKN.HWD","DBHHT","bbark2",1.8677,NA
"UNKN.HWD","DBHHT","bbark3",0.7144,NA
"UNKN.HWD","DBHHT","bbranches1",0.0448,NA
"UNKN.HWD","DBHHT","bbranches2",2.6855,NA
"UNKN.HWD","DBHHT","bbranches3",-0.5911,NA
"UNKN.HWD","DBHHT","bfoliage1",0.0869,NA
"UNKN.HWD","DBHHT","bfoliage2",1.8541,NA
"UNKN.HWD","DBHHT","bfoliage3",-0.5491,NA
"UNKN.SWD","DBHHT","bwood1",0.0276,NA
"UNKN.SWD","DBHHT","bwood2",1.6868,NA
"UNKN.SWD","DBHHT","bwood3",1.0953,NA
"UNKN.SWD","DBHHT","bbark1",0.0101,NA
"UNKN.SWD","DBHHT","bbark2",1.8486,NA
"UNKN.SWD","DBHHT","bbark3",0.5525,NA
"UNKN.SWD","DBHHT","bbranches1",0.0313,NA
"UNKN.SWD","DBHHT","bbranches2",2.9974,NA
"UNKN.SWD","DBHHT","bbranches3",-1.0383,NA
"UNKN.SWD","DBHHT","bfoliage1",0.1379,NA
"UNKN.SWD","DBHHT","bfoliage2",2.3981,NA
"UNKN.SWD","DBHHT","bfoliage3",-1.0418,NA
"UNKN.SPP","DBHHT","bwood1",0.0283,NA
"UNKN.SPP","DBHHT","bwood2",1.8298,NA
"UNKN.SPP","DBHHT","bwood3",0.9546,NA
"UNKN.SPP","DBHHT","bbark1",0.012,NA
"UNKN.SPP","DBHHT","bbark2",1.6378,NA
"UNKN.SPP","DBHHT","bbark3",0.7746,NA
"UNKN.SPP","DBHHT","bbranches1",0.0338,NA
"UNKN.SPP","DBHHT","bbranches2",2.6624,NA
"UNKN.SPP","DBHHT","bbranches3",-0.5743,NA
"UNKN.SPP","DBHHT","bfoliage1",0.1699,NA
"UNKN.SPP","DBHHT","bfoliage2",2.3289,NA
"UNKN.SPP","DBHHT","bfoliage3",-1.1316,NA
"PSEU.MEN","DBHHT","bwood1",0.0191,NA
"PSEU.MEN","DBHHT","bwood2",1.5365,NA
"PSEU.MEN","DBHHT","bwood3",1.3634,NA
"PSEU.MEN","DBHHT","bbark1",0.0083,NA
"PSEU.MEN","DBHHT","bbark2",2.4811,NA
"PSEU.MEN","DBHHT","bbark3",0,NA
"PSEU.MEN","DBHHT","bbranches1",0.0351,NA
"PSEU.MEN","DBHHT","bbranches2",2.2421,NA
"PSEU.MEN","DBHHT","bbranches3",0,NA
"PSEU.MEN","DBHHT","bfoliage1",0.0718,NA
"PSEU.MEN","DBHHT","bfoliage2",2.2935,NA
"PSEU.MEN","DBHHT","bfoliage3",-0.4744,NA
"PICE.ENG","DBHHT","bwood1",0.0133,NA
"PICE.ENG","DBHHT","bwood2",1.3303,NA
"PICE.ENG","DBHHT","bwood3",1.6877,NA
"PICE.ENG","DBHHT","bbark1",0.0086,NA
"PICE.ENG","DBHHT","bbark2",1.6216,NA
"PICE.ENG","DBHHT","bbark3",0.8192,NA
"PICE.ENG","DBHHT","bbranches1",0.0428,NA
"PICE.ENG","DBHHT","bbranches2",2.7965,NA
"PICE.ENG","DBHHT","bbranches3",-0.7328,NA
"PICE.ENG","DBHHT","bfoliage1",0.0854,NA
"PICE.ENG","DBHHT","bfoliage2",2.4388,NA
"PICE.ENG","DBHHT","bfoliage3",-0.763,NA
"ABIE.AMA","DBHHT","bwood1",0.0315,NA
"ABIE.AMA","DBHHT","bwood2",1.8297,NA
"ABIE.AMA","DBHHT","bwood3",0.8056,NA
"ABIE.AMA","DBHHT","bbark1",0.0067,NA
"ABIE.AMA","DBHHT","bbark2",2.697,NA
"ABIE.AMA","DBHHT","bbark3",-0.3105,NA
"ABIE.AMA","DBHHT","bbranches1",0.042,NA
"ABIE.AMA","DBHHT","bbranches2",2.0313,NA
"ABIE.AMA","DBHHT","bbranches3",0,NA
"ABIE.AMA","DBHHT","bfoliage1",0.0453,NA
"ABIE.AMA","DBHHT","bfoliage2",2.4867,NA
"ABIE.AMA","DBHHT","bfoliage3",-0.4982,NA
"POPU.TRI","DBHHT","bwood1",0.0051,NA
"POPU.TRI","DBHHT","bwood2",1.0697,NA
"POPU.TRI","DBHHT","bwood3",2.2748,NA
"POPU.TRI","DBHHT","bbark1",9e-04,NA
"POPU.TRI","DBHHT","bbark2",1.3061,NA
"POPU.TRI","DBHHT","bbark3",2.0109,NA
"POPU.TRI","DBHHT","bbranches1",0.0131,NA
"POPU.TRI","DBHHT","bbranches2",2.576,NA
"POPU.TRI","DBHHT","bbranches3",0,NA
"POPU.TRI","DBHHT","bfoliage1",0.0224,NA
"POPU.TRI","DBHHT","bfoliage2",1.8368,NA
"POPU.TRI","DBHHT","bfoliage3",0,NA
"ALNU.RUB","DBHHT","bwood1",0.0051,NA
"ALNU.RUB","DBHHT","bwood2",1.0697,NA
"ALNU.RUB","DBHHT","bwood3",2.2748,NA
"ALNU.RUB","DBHHT","bbark1",9e-04,NA
"ALNU.RUB","DBHHT","bbark2",1.3061,NA
"ALNU.RUB","DBHHT","bbark3",2.0109,NA
"ALNU.RUB","DBHHT","bbranches1",0.0131,NA
"ALNU.RUB","DBHHT","bbranches2",2.576,NA
"ALNU.RUB","DBHHT","bbranches3",0,NA
"ALNU.RUB","DBHHT","bfoliage1",0.0224,NA
"ALNU.RUB","DBHHT","bfoliage2",1.8368,NA
"ALNU.RUB","DBHHT","bfoliage3",0,NA
"PICE.SIT","DBHHT","bwood1",0.0237,NA
"PICE.SIT","DBHHT","bwood2",2.5813,NA
"PICE.SIT","DBHHT","bwood3",0.0822,NA
"PICE.SIT","DBHHT","bbark1",0.0045,NA
"PICE.SIT","DBHHT","bbark2",1.2275,NA
"PICE.SIT","DBHHT","bbark3",1.519,NA
"PICE.SIT","DBHHT","bbranches1",0.0498,NA
"PICE.SIT","DBHHT","bbranches2",1.9671,NA
"PICE.SIT","DBHHT","bbranches3",0,NA
"PICE.SIT","DBHHT","bfoliage1",0.014,NA
"PICE.SIT","DBHHT","bfoliage2",3.1305,NA
"PICE.SIT","DBHHT","bfoliage3",-0.907,NA
"TSUG.HET","DBHHT","bwood1",0.0113,NA
"TSUG.HET","DBHHT","bwood2",1.9332,NA
"TSUG.HET","DBHHT","bwood3",1.1125,NA
"TSUG.HET","DBHHT","bbark1",0.0019,NA
"TSUG.HET","DBHHT","bbark2",2.3356,NA
"TSUG.HET","DBHHT","bbark3",0.6371,NA
"TSUG.HET","DBHHT","bbranches1",0.0609,NA
"TSUG.HET","DBHHT","bbranches2",2.0021,NA
"TSUG.HET","DBHHT","bbranches3",0,NA
"TSUG.HET","DBHHT","bfoliage1",0.2656,NA
"TSUG.HET","DBHHT","bfoliage2",2.0107,NA
"TSUG.HET","DBHHT","bfoliage3",-0.7963,NA
"THUJ.PLI","DBHHT","bwood1",0.0188,NA
"THUJ.PLI","DBHHT","bwood2",1.3376,NA
"THUJ.PLI","DBHHT","bwood3",1.5293,NA
"THUJ.PLI","DBHHT","bbark1",2e-04,NA
"THUJ.PLI","DBHHT","bbark2",2.4369,NA
"THUJ.PLI","DBHHT","bbark3",1.1315,NA
"THUJ.PLI","DBHHT","bbranches1",0.0611,NA
"THUJ.PLI","DBHHT","bbranches2",1.9208,NA
"THUJ.PLI","DBHHT","bbranches3",0,NA
"THUJ.PLI","DBHHT","bfoliage1",0.1097,NA
"THUJ.PLI","DBHHT","bfoliage2",1.553,NA
"THUJ.PLI","DBHHT","bfoliage3",0,NA
