nfi_species,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5
ABIE.BAL,2.0901,0.9296,-0.0280,2.8280,-0.1403,0.2198,1.1644,-0.0110,-2.0364,-0.1775
PICE.GLA,10.8738,0.5529,-0.0343,34.6880,-0.6139,0.0833,1.3965,-0.0196,-8.0895,-0.3659
