jurisdiction,species_original,species_nfi,table_id,model_component,region_type,region,parameter,value
MB,Jack pine,PINU.BAN,Table 28,stumpdob_dbh_eq18,site_type,Rock,MSE,0.007824
MB,Jack pine,PINU.BAN,Table 28,stumpdob_dbh_eq18,site_type,Rock,R2,0.999664
MB,Jack pine,PINU.BAN,Table 28,stumpdob_dbh_eq18,site_type,Rock,a,0.7149
MB,Jack pine,PINU.BAN,Table 28,stumpdob_dbh_eq18,site_type,Rock,b,0.9539
MB,Jack pine,PINU.BAN,Table 28,stumpdob_dbh_eq18,site_type,Rock,c,0.00704
MB,Jack pine,PINU.BAN,Table 28,stumpdob_dbh_eq18,site_type,Rock,n,20.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,MSE,0.904634
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,R2,0.977363
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,a0,1.1236
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,a1,0.9006
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,a2,1.0018
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,b1,-0.1237
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,b2,-0.0251
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,b3,0.1738
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,b4,0.1434
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,b5,0.1157
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,148,n,1639.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,MSE,1.697812
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,R2,0.97128
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,a0,1.6336
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,a1,0.7698
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,a2,1.0025
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,b1,0.9974
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,b2,-0.0924
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,b3,0.5719
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,b4,-0.5121
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,b5,0.3402
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,152-154,n,487.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,MSE,0.918455
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,R2,0.981417
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,a0,1.095
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,a1,0.8971
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,a2,1.0018
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,b1,0.356
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,b2,-0.0564
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,b3,0.5162
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,b4,-0.2258
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,b5,0.2933
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,155,n,234.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,MSE,1.019903
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,R2,0.973937
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,a0,0.969
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,a1,0.9568
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,a2,1.0012
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,b1,0.4314
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,b2,-0.0659
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,b3,-0.0805
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,b4,0.1196
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,b5,-0.0685
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,88,n,862.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,MSE,1.348637
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,R2,0.975319
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,a0,0.8864
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,a1,1.013
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,a2,0.9964
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,b1,-0.1669
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,b2,-0.0178
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,b3,0.0695
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,b4,0.2151
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,b5,0.0784
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,89,n,420.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,MSE,0.923144
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,R2,0.979705
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,a0,1.2446
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,a1,0.7872
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,a2,1.0122
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,b1,-0.2493
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,b2,-0.0351
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,b3,0.1648
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,b4,0.2737
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,b5,0.0284
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,90,n,1006.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,MSE,1.026653
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,R2,0.982809
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,a0,0.9138
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,a1,0.982
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,a2,0.9985
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,b1,0.1462
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,b2,-0.0414
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,b3,0.2919
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,b4,0.0168
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,b5,0.1665
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,ecoregion,91,n,782.0
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,MSE,1.244656
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,R2,0.974126
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,a0,0.9674
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,a1,0.9746
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,a2,0.9976
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,b1,0.0487
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,b2,-0.0402
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,b3,0.1459
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,b4,0.1266
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,b5,0.0753
MB,Jack pine,PINU.BAN,Table 18,taper_eq1,province,Provincial,n,5430.0
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,MSE,1.1033837
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,R2,0.9777024
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,a0,2.0531
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,a1,0.5446
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,a2,1.0235
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,b1,-0.0967
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,b1,-0.4068
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,b2,-0.0323
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,b4,0.487
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,b5,-0.1332
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Mineral,n,596.0
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,MSE,0.5418752
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,R2,0.9854957
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,a0,1.1158
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,a1,0.8511
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,a2,1.0083
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,b1,0.3392
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,b1,-0.2465
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,b2,-0.0265
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,b4,0.1713
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,b5,0.1479
MB,Jack pine,PINU.BAN,Table 21,taper_eq1,site_type,Rock,n,410.0
MB,Balsam poplar,POPU.BAL,Table 22,dib_dob_eq11,ecoregion,152-154,MSE,0.149684
MB,Balsam poplar,POPU.BAL,Table 22,dib_dob_eq11,ecoregion,152-154,R2,0.99819
MB,Balsam poplar,POPU.BAL,Table 22,dib_dob_eq11,ecoregion,152-154,a,0.65856
MB,Balsam poplar,POPU.BAL,Table 22,dib_dob_eq11,ecoregion,152-154,b,1.06317
MB,Balsam poplar,POPU.BAL,Table 22,dib_dob_eq11,ecoregion,152-154,n,875.0
MB,Balsam poplar,POPU.BAL,Table 22,height_dbh_eq15,ecoregion,152-154,MSE,0.147706
MB,Balsam poplar,POPU.BAL,Table 22,height_dbh_eq15,ecoregion,152-154,R2,0.369591
MB,Balsam poplar,POPU.BAL,Table 22,height_dbh_eq15,ecoregion,152-154,a,28.7428
MB,Balsam poplar,POPU.BAL,Table 22,height_dbh_eq15,ecoregion,152-154,b,0.0466
MB,Balsam poplar,POPU.BAL,Table 22,height_dbh_eq15,ecoregion,152-154,c,0.9728
MB,Balsam poplar,POPU.BAL,Table 22,height_dbh_eq15,ecoregion,152-154,n,37.0
MB,Balsam poplar,POPU.BAL,Table 22,stumpdob_dbh_eq18,ecoregion,152-154,MSE,0.000408
MB,Balsam poplar,POPU.BAL,Table 22,stumpdob_dbh_eq18,ecoregion,152-154,R2,0.99997
MB,Balsam poplar,POPU.BAL,Table 22,stumpdob_dbh_eq18,ecoregion,152-154,a,-7.3723
MB,Balsam poplar,POPU.BAL,Table 22,stumpdob_dbh_eq18,ecoregion,152-154,b,1.7746
MB,Balsam poplar,POPU.BAL,Table 22,stumpdob_dbh_eq18,ecoregion,152-154,c,-0.0131
MB,Balsam poplar,POPU.BAL,Table 22,stumpdob_dbh_eq18,ecoregion,152-154,n,37.0
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,MSE,1.236146
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,R2,0.983187
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,a0,0.2569
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,a1,1.5383
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,a2,0.9751
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,b1,0.7719
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,b3,0.1448
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,b2,-0.1105
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,b4,-0.0811
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,b5,0.1324
MB,Balsam poplar,POPU.BAL,Table 2,taper_eq1,ecoregion,152-154,n,875.0
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Plain,MSE,0.172843
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Plain,R2,0.780331
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Plain,a,23.0375
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Plain,b,0.1633
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Plain,n,61.0
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Shield,MSE,0.283248
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Shield,R2,0.899722
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Shield,a,42.0171
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Shield,b,0.0337
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,ecozone,Boreal Shield,n,10.0
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,province,Provincial,MSE,0.184107
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,province,Provincial,R2,0.824006
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,province,Provincial,a,23.9472
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,province,Provincial,b,0.1283
MB,Trembling aspen,POPU.TRE,Table 23,dib_dob_eq11,province,Provincial,n,71.0
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Plain,MSE,0.172843
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Plain,R2,0.780331
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Plain,a,23.0375
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Plain,b,0.1633
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Plain,c,5.2256
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Plain,n,61.0
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Shield,MSE,0.283248
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Shield,R2,0.899722
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Shield,a,42.0171
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Shield,b,0.0337
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Shield,c,1.1569
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,ecozone,Boreal Shield,n,10.0
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,province,Provincial,MSE,0.184107
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,province,Provincial,R2,0.824006
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,province,Provincial,a,23.9472
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,province,Provincial,b,0.1283
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,province,Provincial,c,3.1155
MB,Trembling aspen,POPU.TRE,Table 23,height_dbh_eq15,province,Provincial,n,71.0
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Plain,MSE,0.002199
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Plain,R2,0.999948
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Plain,a,-3.8616
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Plain,b,1.4469
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Plain,c,-0.00637
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Plain,n,61.0
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Shield,MSE,0.225146
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Shield,R2,0.996589
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Shield,a,-0.9291
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Shield,b,1.2522
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Shield,c,-0.00493
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,ecozone,Boreal Shield,n,10.0
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,province,Provincial,MSE,0.007263
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,province,Provincial,R2,0.999838
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,province,Provincial,a,-1.9176
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,province,Provincial,b,1.2781
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,province,Provincial,c,-0.0034
MB,Trembling aspen,POPU.TRE,Table 23,stumpdob_dbh_eq18,province,Provincial,n,71.0
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,MSE,1.691296
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,R2,0.978322
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,a0,0.456
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,a1,1.2991
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,a2,0.9859
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,b2,-0.1311
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,b3,0.5736
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,b4,-0.3198
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,b5,0.1047
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Plain,n,1413.0
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,MSE,1.294318
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,R2,0.977597
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,a0,0.7855
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,a1,1.058
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,a2,0.995
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,b2,-0.0713
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,b3,0.3202
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,b4,0.2354
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,b5,-0.212
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,ecozone,Boreal Shield,n,211.0
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,MSE,1.768216
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,R2,0.976623
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,a0,0.6549
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,a1,1.128
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,a2,0.993
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,b2,-0.1311
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,b3,0.6458
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,b4,-0.2967
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,b5,0.067
MB,Trembling aspen,POPU.TRE,Table 5,taper_eq1,province,Provincial,n,1624.0
