species,alpha,beta,gamma
PINU.BAN,-0.00592,0.2015,1.8737
PINU.STR,-0.00689,0.1727,1.8525
PINU.RES,-0.00838,0.1603,1.8159
PINU.CON,-0.01230,0.2046,1.8712
PICE.MAR,-0.00650,0.26621,1.9458
PICE.GLA,-0.00274,0.1848,1.8664
PICE.RUB,-0.00648,0.2382,1.9009
PICE.ENG,-0.00610,0.1198,1.7751
ABIE.BAL,-0.00529,0.3135,1.9876
BETU.PAP,-0.00718,0.1821,1.8754
BETU.ALL,-0.00418,0.1151,1.7836
ACER.SAC,-0.00519,0.2702,1.9821
POPU.SPP,-0.01060,0.2599,1.9387
POPU.BAL,-0.01312,0.1608,1.8351
POPU.TRE,-0.01339,0.1301,1.8067
POPU.GRA,-0.00885,0.2334,1.9377
FRAX.AME,-0.00835,0.1951,1.9277
THUJ.OCC,-0.00021,0.5431,2.1441
CEDA.SPP,-0.00538,0.2055,1.9006
LARI.OCC,-0.00101,0.6226,2.1812
LARI.DEC,-0.00019,0.3479,2.0431
PRUN.SER,-0.01272,0.0992,1.7514
FAGU.GRA,-0.01211,0.1114,1.7662
TILI.AME,-0.00127,5.2555,2.7049
QUER.RUB,-0.00858,0.07959,1.6952
